"","r1","r10","r2","r3","r4","r5","r6","r7","r8","r9","s1","s2","s3","s4","s5","s6","cluster"
"1",12,0,0,0,0,0,0,0,0,0,35,3,33,3,2,0,1
"10",10,0,0,0,0,0,0,0,0,0,38,1,33,1,0,0,1
"100",11,0,0,0,0,0,0,0,0,0,32,3,29,2,1,1,1
"1000",2,0,18,0,0,0,0,0,0,0,34,2,31,2,2,2,2
"1001",4,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,3
"1002",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1003",6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1004",4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1005",0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,5
"1006",2,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,6
"1007",4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,7
"1008",4,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,1
"1009",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"101",6,0,0,0,0,0,0,0,0,0,50,2,44,2,2,2,1
"1010",2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3
"1011",2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6
"1012",2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1013",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1014",2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1015",4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1016",4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1017",6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8
"1018",6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1
"1019",2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"102",10,0,0,0,0,0,0,0,0,0,32,0,29,0,0,0,1
"1020",4,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,9
"1021",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1022",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1
"1023",4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3
"1024",6,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,10
"1025",6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3
"1026",8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1027",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1028",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6
"1029",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3
"103",8,0,0,0,0,0,0,0,0,0,33,1,30,0,0,0,1
"1030",4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1031",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3
"1032",2,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,9
"1033",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1
"1034",6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1035",2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3
"1036",6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8
"1037",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1038",2,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,4
"1039",12,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3
"104",12,0,0,0,0,0,0,0,0,0,23,3,21,1,1,1,1
"1040",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1041",8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1042",2,0,6,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1043",2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1044",4,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0,3
"1045",4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1046",6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1047",2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1048",2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3
"1049",2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6
"105",10,0,0,0,0,0,0,0,0,0,25,0,21,0,0,0,1
"1050",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1051",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11
"1052",2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1053",0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1054",2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3
"1055",4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3
"1056",2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1057",6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1058",2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1059",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"106",6,0,0,0,0,0,0,0,0,0,34,3,27,1,0,0,1
"1060",2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6
"1061",4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1062",8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1063",0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,12
"1064",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1
"1065",2,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,3
"1066",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3
"1067",4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1
"1068",0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,4
"1069",4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1
"107",17,0,0,0,0,0,0,0,0,0,29,2,25,2,0,0,1
"1070",0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1071",4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3
"1072",0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,4
"1073",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3
"1074",4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1075",8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1076",6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1077",12,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,10
"1078",0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,3
"1079",4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3
"108",6,0,0,0,0,0,0,0,0,0,38,3,36,2,2,2,1
"1080",2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1081",0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,13
"1082",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3
"1083",2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1084",4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1085",4,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,2
"1086",6,0,4,2,0,10,0,0,0,0,0,0,0,0,0,0,14
"1087",4,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,15
"1088",6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1089",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"109",13,0,0,0,0,0,0,0,0,0,37,3,32,2,0,0,1
"1090",4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16
"1091",2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1092",6,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,13
"1093",4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1094",2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1095",4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1096",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1097",2,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,4
"1098",4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17
"1099",4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3
"11",11,0,0,0,0,0,0,0,0,0,33,3,29,2,0,0,1
"110",14,0,0,0,0,0,0,0,0,0,34,0,29,0,0,0,1
"1100",0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1101",8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1102",2,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,3
"1103",2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3
"1104",8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6
"1105",4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3
"1106",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1107",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1108",6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3
"1109",2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"111",14,0,0,0,0,0,0,0,0,0,39,0,37,0,0,0,1
"1110",2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3
"1111",2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3
"1112",2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6
"1113",2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,16
"1114",2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1115",6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3
"1116",2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,16
"1117",8,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,10
"1118",2,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,3
"1119",6,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"112",9,0,0,0,0,0,0,0,0,0,31,2,27,1,1,1,1
"1120",2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
"1121",4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1
"1122",4,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,13
"1123",0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1124",4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1125",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1
"1126",2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3
"1127",2,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,19
"1128",4,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,13
"1129",4,0,10,0,0,12,0,0,0,0,0,0,0,0,0,0,13
"113",6,0,0,0,0,0,0,0,0,0,31,2,26,2,0,0,1
"1130",2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6
"1131",4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1132",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1133",4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3
"1134",0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1135",0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6
"1136",4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1137",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1138",2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3
"1139",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3
"114",9,0,0,0,0,0,0,0,0,0,38,3,29,3,1,0,1
"1140",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
"1141",4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1142",2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,13
"1143",8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,20
"1144",2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3
"1145",4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1146",10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1147",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1148",6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1149",4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"115",8,0,0,0,0,0,0,0,0,0,31,3,26,2,1,1,1
"1150",4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3
"1151",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1152",2,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,13
"1153",2,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,21
"1154",4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,3
"1155",4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1156",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1157",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1158",2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1159",4,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,13
"116",7,0,0,0,0,0,0,0,0,0,38,4,34,4,2,2,1
"1160",6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"1161",6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3
"1162",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1163",2,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,4
"1164",6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1165",4,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,3
"1166",6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3
"1167",6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3
"1168",4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1169",4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"117",11,0,0,0,0,0,0,0,0,0,43,3,38,3,3,2,1
"1170",2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1171",4,0,20,0,0,0,0,0,0,2,0,0,0,0,0,0,22
"1172",6,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,1
"1173",2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1174",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3
"1175",4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1176",6,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,2
"1177",2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3
"1178",0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,9
"1179",6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,16
"118",11,0,0,0,0,0,0,0,0,0,44,1,41,1,1,1,1
"1180",2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1
"1181",4,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,1
"1182",8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8
"1183",10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3
"1184",2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1185",2,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,13
"1186",4,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,13
"1187",2,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,12
"1188",2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1189",4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"119",12,0,0,0,0,0,0,0,0,0,45,1,36,1,1,1,1
"1190",2,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1191",2,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,13
"1192",4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6
"1193",2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
"1194",6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1195",4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1196",4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1197",8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8
"1198",2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1199",2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3
"12",8,0,0,0,0,0,0,0,0,0,34,2,31,2,2,2,1
"120",5,0,0,0,0,0,0,0,0,0,22,3,21,1,0,0,1
"1200",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1201",2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1202",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1203",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1204",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3
"1205",6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3
"1206",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1
"1207",2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1
"1208",2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1209",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"121",6,0,0,0,0,0,0,0,0,0,27,0,22,0,0,0,1
"1210",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"1211",2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1212",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1213",2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3
"1214",6,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,6
"1215",2,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,13
"1216",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1217",8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1218",2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1219",4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"122",11,0,0,0,0,0,0,0,0,0,32,0,32,0,0,0,1
"1220",4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3
"1221",4,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,6
"1222",2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,11
"1223",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1224",4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3
"1225",6,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,3
"1226",2,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,23
"1227",2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1
"1228",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1229",10,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3
"123",7,0,0,0,0,0,0,0,0,0,40,2,33,2,0,0,1
"1230",2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1231",2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1232",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1233",2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3
"1234",6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3
"1235",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6
"1236",4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1237",0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,3
"1238",2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1
"1239",2,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0,13
"124",12,0,0,0,0,0,0,0,0,0,41,3,37,1,0,0,1
"1240",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1241",0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1242",0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,6
"1243",2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1244",0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,3
"1245",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1246",4,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"1247",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1248",4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1249",4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"125",9,0,0,0,0,0,0,0,0,0,32,2,30,2,0,0,1
"1250",2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3
"1251",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1252",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3
"1253",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3
"1254",0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,9
"1255",4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3
"1256",2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1257",4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1258",4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6
"1259",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3
"126",10,0,0,0,0,0,0,0,0,0,33,1,30,1,0,0,1
"1260",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1261",2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1262",4,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,13
"1263",2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1
"1264",0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,4
"1265",0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1266",2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1267",4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3
"1268",8,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,19
"1269",4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3
"127",7,0,0,0,0,0,0,0,0,0,54,1,50,1,1,1,1
"1270",2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1271",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6
"1272",6,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,3
"1273",2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1274",8,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3
"1275",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6
"1276",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1
"1277",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1278",4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1279",2,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,4
"128",6,0,0,0,0,0,0,0,0,0,36,1,35,1,1,0,1
"1280",4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3
"1281",4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3
"1282",4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1283",6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
"1284",4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1
"1285",2,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,3
"1286",2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3
"1287",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
"1288",2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1289",8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"129",7,0,0,0,0,0,0,0,0,0,35,2,28,1,0,0,1
"1290",2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1291",2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1292",2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3
"1293",0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1294",6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1295",4,0,2,6,0,8,0,0,0,0,0,0,0,0,0,0,24
"1296",6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1297",4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4
